,0,label,age
156,156,[65_79_year_old_human_stage],72.0
157,157,[19_month_old_human_stage],0.0
158,158,[human_early_adulthood_stage],10.0
159,159,[95_year_old_human_stage],95.0
160,160,[97_year_old_human_stage],97.0
161,161,[94_year_old_human_stage],94.0
162,162,[96_year_old_human_stage],96.0
163,163,[93_year_old_human_stage],93.0
164,164,[2_5_year_old_child_stage],4.0
165,165,[6_12_year_old_child_stage],9.0
166,166,[human_aged_stage],
167,167,[immature_stage],0.0
168,168,[ninth_decade_human_stage],95.0
169,169,[25th_week_post_fertilization_human_stage],0.0
170,170,[31st_week_post_fertilization_human_stage],0.0
